name,symbol,logo,historicalFile,url
Rocket Vault-RocketX,RVF,RVF.png,RVF.csv,/currencies/rocket-vault-rocketx/
NaPoleonX,NPX,NPX.png,NPX.csv,/currencies/napoleonx/
Yield Optimization Platform & Protocol,YOP,YOP.png,YOP.csv,/currencies/yop/
PAY,AME,AME.png,AME.csv,/currencies/amepay/
Seele-N,SEELE,SEELE.png,SEELE.csv,/currencies/seele/
Phantasma Energy,KCAL,KCAL.png,KCAL.csv,/currencies/phantasma-energy/
DAOstack,GEN,GEN.png,GEN.csv,/currencies/daostack/
Gravity Finance,GFI,GFI.png,GFI.csv,/currencies/gravity-finance/
Falconswap,FSW,FSW.png,FSW.csv,/currencies/fsw-token/
Medicalchain,MTN,MTN.png,MTN.csv,/currencies/medical-chain/
Titan Coin,TTN,TTN.png,TTN.csv,/currencies/titan-coin/
Scry.info,DDD,DDD.png,DDD.csv,/currencies/scryinfo/
Zerogoki USD,zUSD,zUSD.png,zUSD.csv,/currencies/zerogoki-usd/
Multiplier,MXX,MXX.png,MXX.csv,/currencies/multiplier/
Antiample,XAMP,XAMP.png,XAMP.csv,/currencies/antiample/
BiShares,BISON,BISON.png,BISON.csv,/currencies/bishares/
Arata,ARATA,ARATA.png,ARATA.csv,/currencies/arata/
Natus Vincere Fan Token,NAVI,NAVI.png,NAVI.csv,/currencies/natus-vincere-fan-token/
,YEE,YEE.png,YEE.csv,/currencies/yee/
Venus BCH,vBCH,vBCH.png,vBCH.csv,/currencies/venus-bch/
Playcent,PCNT,PCNT.png,PCNT.csv,/currencies/playcent/
Basis Cash,BAC,BAC.png,BAC.csv,/currencies/basis-cash/
Mcashchain,MCASH,MCASH.png,MCASH.csv,/currencies/mcashchain/
Insured Finance,INFI,INFI.png,INFI.csv,/currencies/insured-finance/
Katalyo,KTLYO,KTLYO.png,KTLYO.csv,/currencies/katalyo/
4THPILLAR TECHNOLOGIES,FOUR,FOUR.png,FOUR.csv,/currencies/4thpillar-technologies/
Cryptonovae,YAE,YAE.png,YAE.csv,/currencies/cryptonovae/
Jarvis Network,JRT,JRT.png,JRT.csv,/currencies/jarvis-network/
Ubex,UBEX,UBEX.png,UBEX.csv,/currencies/ubex/
ContentBox,BOX,BOX.png,BOX.csv,/currencies/contentbox/
Pancake Bunny,BUNNY,BUNNY.png,BUNNY.csv,/currencies/pancakebunny/
Decentralized Vulnerability Platform,DVP,DVP.png,DVP.csv,/currencies/decentralized-vulnerability-platform/
Ceres,CERES,CERES.png,CERES.csv,/currencies/ceres/
B-cube.ai,BCUBE,BCUBE.png,BCUBE.csv,/currencies/b-cube-ai/
Bitswift,BITS,BITS.png,BITS.csv,/currencies/bitswift/
MintMe.com Coin,MINTME,MINTME.png,MINTME.csv,/currencies/mintme-com-coin/
,UGAS,UGAS.png,UGAS.csv,/currencies/ugas/
Polytrade,TRADE,TRADE.png,TRADE.csv,/currencies/polytrade/
Merculet,MVP,MVP.png,MVP.csv,/currencies/merculet/
Netbox Coin,NBX,NBX.png,NBX.csv,/currencies/netbox-coin/
Pepemon Pepeballs,PPBLZ,PPBLZ.png,PPBLZ.csv,/currencies/pepemon-pepeballs/
Young Boys Fan Token,YBO,YBO.png,YBO.csv,/currencies/young-boys-fan-token/
Xaurum,XAUR,XAUR.png,XAUR.csv,/currencies/xaurum/
NeuroChain,NCC,NCC.png,NCC.csv,/currencies/neurochain/
Yellow Road,ROAD,ROAD.png,ROAD.csv,/currencies/yellow-road/
Alliance Fan Token,ALL,ALL.png,ALL.csv,/currencies/alliance-fan-token/
GoWithMi,GMAT,GMAT.png,GMAT.csv,/currencies/gowithmi/
Oikos,OKS,OKS.png,OKS.csv,/currencies/oikos/
FintruX Network,FTX,FTX.png,FTX.csv,/currencies/fintrux-network/
ODUWA,OWC,OWC.png,OWC.csv,/currencies/oduwa/
NativeCoin,N8V,N8V.png,N8V.csv,/currencies/native-coin/
